epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7443,1.32572,2.28782,0.94429,0.64664,0.40541,0.51048,0.39736,0.93872,1.52841,0.87412,0.00014,0.00014,0.00014
2,30.3271,1.10994,1.19736,0.90851,0.9599,0.647,0.77885,0.57609,0.87976,0.65826,0.85664,0.00029406,0.00029406,0.00029406
3,50.011,0.81317,0.75208,0.83995,0.98941,0.64865,0.80671,0.6192,0.80781,0.62349,0.85065,0.000441784,0.000441784,0.000441784
4,76.0038,0.74912,0.61349,0.82075,0.9938,0.7027,0.87721,0.664,0.80017,0.55572,0.84782,0.000583172,0.000583172,0.000583172
5,105.437,0.87915,0.599,0.91744,1,0.83299,0.90907,0.71829,0.73743,0.47739,0.84007,0.000718224,0.000718224,0.000718224
6,137.419,0.78976,0.52627,0.81768,0.9612,0.86486,0.92203,0.72114,0.67247,0.49615,0.8338,0.00084694,0.00084694,0.00084694
7,156.605,0.7156,0.51123,0.8042,0.90649,0.86486,0.89308,0.67352,0.81253,0.49671,0.83924,0.00096932,0.00096932,0.00096932
8,171.391,0.72933,0.46236,0.81887,0.99029,0.89189,0.93781,0.72008,0.73268,0.48031,0.83035,0.00108536,0.00108536,0.00108536
9,190.224,0.80771,0.4874,0.79076,0.99505,0.89189,0.94297,0.73502,0.72143,0.44097,0.8313,0.00119507,0.00119507,0.00119507
10,210.908,0.71635,0.45368,0.82803,0.94511,0.93094,0.94842,0.72443,0.76127,0.42386,0.84107,0.00129844,0.00129844,0.00129844
11,228.911,0.71368,0.46277,0.81454,1,0.89922,0.94467,0.77907,0.67637,0.45425,0.83108,0.00139548,0.00139548,0.00139548
12,250.586,0.78498,0.50678,0.85865,1,0.88931,0.94535,0.7688,0.68289,0.42936,0.82439,0.00148618,0.00148618,0.00148618
13,269.303,0.72947,0.42923,0.82887,0.99612,0.86486,0.94095,0.75345,0.70461,0.43584,0.82909,0.0015248,0.0015248,0.0015248
14,287.097,0.77729,0.47741,0.82882,0.94224,0.88196,0.94013,0.75395,0.69072,0.47178,0.82969,0.0014852,0.0014852,0.0014852
15,302.14,0.69393,0.41739,0.82976,0.99309,0.83784,0.94396,0.75983,0.69122,0.45654,0.82992,0.0014456,0.0014456,0.0014456
16,312.684,0.64664,0.43582,0.80625,0.9956,0.83784,0.93515,0.77206,0.64558,1.12851,0.82148,0.001406,0.001406,0.001406
17,322.438,0.67581,0.39994,0.81298,0.97203,0.93931,0.94409,0.76951,0.64725,0.39495,0.82341,0.0013664,0.0013664,0.0013664
18,332.807,0.63588,0.38027,0.85377,0.95989,0.94595,0.94714,0.7183,0.65628,0.40263,0.82361,0.0013268,0.0013268,0.0013268
19,344.093,0.62317,0.41215,0.81411,1,0.9152,0.94985,0.74507,0.64276,0.3694,0.82002,0.0012872,0.0012872,0.0012872
20,354.268,0.62316,0.36634,0.8134,1,0.94517,0.95115,0.76401,0.70138,0.37414,0.82608,0.0012476,0.0012476,0.0012476
21,364.507,0.68896,0.37951,0.78149,0.99745,0.94595,0.9536,0.73584,0.7175,0.40677,0.82425,0.001208,0.001208,0.001208
22,374.681,0.61676,0.38246,0.78758,0.99786,0.94595,0.95296,0.78224,0.69298,0.37676,0.82469,0.0011684,0.0011684,0.0011684
23,388.58,0.61166,0.38326,0.80777,0.99456,0.94595,0.9533,0.79766,0.6436,0.36381,0.82093,0.0011288,0.0011288,0.0011288
24,401.185,0.6385,0.35548,0.78823,0.99578,0.94595,0.95189,0.78734,0.68235,0.38236,0.82295,0.0010892,0.0010892,0.0010892
25,411.254,0.60642,0.35826,0.79485,0.99888,0.94595,0.95061,0.75421,0.66435,0.37437,0.82089,0.0010496,0.0010496,0.0010496
26,422.643,0.57465,0.34361,0.78749,0.99934,0.94595,0.94988,0.75337,0.61585,0.36063,0.8177,0.00101,0.00101,0.00101
27,432.393,0.56183,0.35732,0.8009,0.9978,0.94595,0.94981,0.77208,0.63713,0.36125,0.81656,0.0009704,0.0009704,0.0009704
28,443.053,0.59374,0.35548,0.79866,0.99671,0.94595,0.95061,0.75399,0.65051,0.35583,0.81645,0.0009308,0.0009308,0.0009308
29,456.603,0.58357,0.3869,0.79517,0.99702,0.94595,0.95103,0.75702,0.62873,0.35554,0.81716,0.0008912,0.0008912,0.0008912
30,467.197,0.54035,0.31989,0.80643,0.99726,0.94595,0.95174,0.78368,0.60729,0.3445,0.81777,0.0008516,0.0008516,0.0008516
31,478.088,0.56413,0.32421,0.79515,1,0.94424,0.95408,0.7765,0.60703,0.33854,0.81679,0.000812,0.000812,0.000812
32,488.121,0.55115,0.31826,0.81325,1,0.94322,0.95643,0.76694,0.61644,0.35244,0.81743,0.0007724,0.0007724,0.0007724
33,498.679,0.52092,0.29457,0.78281,1,0.94356,0.95745,0.77967,0.63065,0.35587,0.81761,0.0007328,0.0007328,0.0007328
34,509.75,0.53564,0.33365,0.78947,0.99757,0.91892,0.95646,0.78204,0.60859,0.35211,0.81491,0.0006932,0.0006932,0.0006932
35,520.916,0.5585,0.31856,0.78529,0.99749,0.91892,0.9545,0.72842,0.61608,0.35752,0.81486,0.0006536,0.0006536,0.0006536
36,531.494,0.52882,0.28922,0.78407,1,0.94184,0.95375,0.72236,0.63005,0.3661,0.81424,0.000614,0.000614,0.000614
37,543.227,0.5653,0.31972,0.76964,0.9721,0.94169,0.9524,0.76323,0.62958,0.36732,0.81474,0.0005744,0.0005744,0.0005744
38,553.603,0.50703,0.30182,0.78599,1,0.94197,0.95434,0.79111,0.61966,0.3524,0.81316,0.0005348,0.0005348,0.0005348
