epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,289.195,1.70499,11.3576,1.08622,0.0021,0.22609,0.00133,0.00072,1.29299,inf,0.87719,0.00046,0.00046,0.00046
2,627.215,1.27797,1.96187,0.90365,0,0,0,0,nan,nan,nan,0.000933796,0.000933796,0.000933796
3,905.971,1.16508,0.87389,0.88351,0,0,0,0,nan,nan,nan,0.00140126,0.00140126,0.00140126
4,1216.94,1.22778,1.06751,0.88094,0,0,0,0,nan,nan,nan,0.00186238,0.00186238,0.00186238
5,1499.31,1.17163,0.84275,0.87542,0,0,0,0,0,nan,0,0.0019472,0.0019472,0.0019472
6,1806.73,1.17554,0.78117,0.88044,4e-05,0.0087,2e-05,1e-05,4.46497,inf,5.50983,0.001934,0.001934,0.001934
7,2134.73,1.13518,0.78219,0.88569,0.4761,0.16522,0.10883,0.07799,1.63658,4.01619,1.04808,0.0019208,0.0019208,0.0019208
8,2421.92,1.15962,0.72234,0.87333,0.85999,0.06957,0.08674,0.06373,3.24313,4.55848,1.68986,0.0019076,0.0019076,0.0019076
9,2731.48,1.08219,0.69799,0.85797,1,0.71937,0.8205,0.61135,0.96377,0.70701,0.85046,0.0018944,0.0018944,0.0018944
10,5106.83,1.06294,0.67843,0.85737,0.97771,0.8087,0.83489,0.61274,0.97791,0.58068,0.85572,0.0018812,0.0018812,0.0018812
11,5438.46,1.01413,0.66459,0.8523,0.9215,0.82609,0.86237,0.60507,0.98085,0.54248,0.85537,0.001868,0.001868,0.001868
12,5769.23,1.03691,0.62881,0.84426,0.989,0.78191,0.83773,0.62062,0.93804,0.6455,0.84982,0.0018548,0.0018548,0.0018548
13,6062.71,0.97165,0.60376,0.8441,0.98384,0.77391,0.85313,0.64594,0.98507,0.67446,0.84215,0.0018416,0.0018416,0.0018416
14,6372.34,0.99919,0.61163,0.83992,0.97363,0.7913,0.84682,0.62476,0.92775,0.58761,0.83465,0.0018284,0.0018284,0.0018284
15,6669.17,1.00201,0.65914,0.8333,0.94493,0.77391,0.87154,0.64253,0.92127,0.69242,0.83595,0.0018152,0.0018152,0.0018152
16,6979.01,0.92013,0.55876,0.83671,0.95534,0.81739,0.85176,0.65251,0.90649,0.54383,0.82971,0.001802,0.001802,0.001802
17,7281.83,0.98116,0.59639,0.85573,0.94871,0.80419,0.85378,0.60415,0.9369,0.55639,0.83078,0.0017888,0.0017888,0.0017888
